https://www.presidency.ucsb.edu/statistics/data/presidential-job-approval-all-data,,,,,
Start Date,End Date,Approving,Disapproving,Unsure/NoData,President
6/3/2024,6/23/2024,38,58,4,Biden
5/1/2024,5/23/2024,39,56,5,Biden
4/1/2024,4/22/2024,38,58,4,Biden
3/1/2024,3/20/2024,40,55,5,Biden
2/1/2024,2/20/2024,38,59,3,Biden
1/2/2024,1/22/2024,41,54,5,Biden
12/1/2023,12/20/2023,39,59,2,Biden
11/1/2023,11/20/2023,37,59,4,Biden
10/2/2023,10/23/2023,37,59,4,Biden
9/1/2023,9/23/2023,41,58,1,Biden
8/1/2023,8/23/2023,42,53,5,Biden
7/3/2023,7/27/2023,40,55,4,Biden
6/1/2023,6/22/2023,43,54,3,Biden
5/1/2023,5/24/2023,39,57,5,Biden
4/3/2023,4/25/2023,37,59,4,Biden
3/1/2023,3/23/2023,40,56,4,Biden
2/1/2023,2/23/2023,42,54,5,Biden
1/2/2023,1/22/2023,41,54,4,Biden
11/9/2022,12/2/2022,40,55,5,Biden
10/3/2022,10/20/2022,40,56,4,Biden
9/1/2022,9/16/2022,42,56,2,Biden
8/1/2022,8/23/2022,44,53,3,Biden
7/5/2022,7/26/2022,38,59,3,Biden
6/1/2022,6/20/2022,41,57,3,Biden
5/2/2022,5/22/2022,41,54,5,Biden
4/1/2022,4/19/2022,41,56,3,Biden
3/1/2022,3/18/2022,42,54,4,Biden
2/1/2022,2/17/2022,41,55,4,Biden
1/3/2022,1/16/2022,40,56,4,Biden
12/1/2/021,12/16/2021,43,51,6,Biden
11/1/2021,11/16/2021,42,55,3,Biden
10/1/2021,10/19/2021,42,52,6,Biden
9/1/2021,9/17/2021,43,55,2,Biden
8/2/2021,8/17/2021,49,48,3,Biden
7/6/2021,7/21/2021,50,45,5,Biden
6/1/2021,6/18/2021,56,42,2,Biden
5/3/2021,5/18/2021,54,40,6,Biden
4/1/2021,4/21/2021,57,40,3,Biden
3/1/2021,3/15/2021,54,42,4,Biden
2/3/2021,2/18/2021,56,40,4,Biden
1/21/2021,2/2/2021,57,37,6,Biden
1/4/2021,1/15/2021,34,62,4,Trump
12/1/2020,12/17/2020,39,57,4,Trump
11/5/2020,11/19/2020,43,55,2,Trump
10/16/2020,10/27/2020,46,52,2,Trump
9/30/2020,10/15/2020,43,55,2,Trump
9/14/2020,9/28/2020,46,52,2,Trump
8/31/2020,9/13/2020,42,56,2,Trump
7/30/2020,8/12/2020,42,55,3,Trump
7/1/2020,7/23/2020,41,56,3,Trump
6/8/2020,6/30/2020,38,57,5,Trump
5/28/2020,6/4/2020,39,57,4,Trump
5/1/2020,5/13/2020,49,48,3,Trump
4/14/2020,4/28/2020,49,47,4,Trump
4/1/2020,4/14/2020,43,54,3,Trump
3/13/2020,3/22/2020,49,45,6,Trump
3/2/2020,3/13/2020,44,52,4,Trump
2/17/2020,2/28/2020,47,51,2,Trump
2/3/2020,2/16/2020,49,48,3,Trump
1/16/2020,1/29/2020,49,50,1,Trump
1/2/2020,1/15/2020,44,53,3,Trump
12/2/2019,12/15/2019,45,51,4,Trump
11/1/2019,11/14/2019,43,54,3,Trump
10/14/2019,10/31/2019,41,57,2,Trump
10/1/2019,10/13/2019,39,57,4,Trump
9/16/2019,9/30/2019,40,56,4,Trump
9/3/2019,9/15/2019,43,54,3,Trump
8/15/2019,8/30/2019,39,57,4,Trump
8/1/2019,8/14/2019,41,54,5,Trump
7/15/2019,7/31/2019,42,54,4,Trump
7/1/2019,7/12/2019,44,51,5,Trump
6/19/2019,6/30/2019,41,54,5,Trump
6/3/2019,6/16/2019,43,55,2,Trump
5/15/2019,5/30/2019,40,55,5,Trump
5/1/2019,5/12/2019,42,52,6,Trump
4/17/2019,4/30/2019,46,50,4,Trump
4/1/2019,4/9/2019,45,51,4,Trump
3/1/2019,3/10/2019,39,57,4,Trump
2/12/2019,2/28/2019,43,54,3,Trump
2/1/2019,2/10/2019,44,52,4,Trump
1/21/2019,1/27/2019,37,59,4,Trump
1/2/2019,1/10/2019,37,59,4,Trump
12/17/2018,12/22/2018,39,55,6,Trump
12/10/2018,12/16/2018,38,57,5,Trump
12/3/2018,12/9/2018,40,56,4,Trump
11/26/2018,12/2/2018,40,56,4,Trump
11/19/2018,11/25/2018,38,60,2,Trump
11/12/2018,11/18/2018,43,53,4,Trump
11/5/2018,11/11/2018,38,56,6,Trump
10/29/2018,11/4/2018,40,54,6,Trump
10/22/2018,10/28/2018,40,54,6,Trump
10/15/2018,10/21/2018,44,50,6,Trump
10/8/2018,10/14/2018,44,51,5,Trump
10/1/2018,10/7/2018,43,53,4,Trump
9/24/2018,9/30/2018,42,53,5,Trump
9/17/2018,9/23/2018,40,56,4,Trump
9/10/2018,9/16/2018,38,56,6,Trump
9/3/2018,9/9/2018,40,54,6,Trump
8/27/2018,9/2/2018,41,53,6,Trump
8/20/2018,8/26/2018,41,54,5,Trump
8/13/2018,8/19/2018,42,52,6,Trump
8/6/2018,8/12/2018,39,56,5,Trump
7/30/2018,8/5/2018,41,54,5,Trump
7/23/2018,7/29/2018,40,55,5,Trump
7/16/2018,7/22/2018,42,54,4,Trump
7/9/2018,7/15/2018,43,52,5,Trump
7/2/2018,7/8/2018,41,56,3,Trump
6/25/2018,7/1/2018,42,53,5,Trump
6/18/2018,6/24/2018,41,55,4,Trump
6/11/2018,6/17/2018,45,50,5,Trump
6/4/2018,6/10/2018,42,54,4,Trump
5/28/2018,6/3/2018,41,55,4,Trump
5/21/2018,5/27/2018,40,55,5,Trump
5/14/2018,5/20/2018,42,54,4,Trump
5/7/2018,5/13/2018,43,52,5,Trump
4/30/2018,5/6/2018,42,52,6,Trump
4/23/2018,4/29/2018,42,53,5,Trump
4/16/2018,4/22/2018,39,55,6,Trump
4/9/2018,4/15/2018,39,55,6,Trump
4/2/2018,4/8/2018,41,54,5,Trump
3/26/2018,4/1/2018,39,56,5,Trump
3/19/2018,3/25/2018,39,55,6,Trump
3/12/2018,3/18/2018,40,56,4,Trump
3/5/2018,3/11/2018,39,56,5,Trump
2/26/2018,3/4/2018,39,55,6,Trump
2/19/2018,2/25/2018,39,56,5,Trump
2/12/2018,2/18/2018,37,59,4,Trump
2/5/2018,2/11/2018,40,57,3,Trump
1/29/2018,2/4/2018,40,57,3,Trump
1/21/2018,1/28/2018,38,58,4,Trump
1/15/2018,1/21/2018,36,59,5,Trump
1/8/2018,1/14/2018,38,57,5,Trump
1/1/2018,1/7/2018,37,58,5,Trump
12/25/2017,12/31/2017,39,55,6,Trump
12/18/2017,12/24/2017,37,57,6,Trump
12/11/2017,12/17/2017,35,60,5,Trump
12/4/2017,12/10/2017,36,59,5,Trump
11/27/2017,12/3/2017,35,59,6,Trump
11/20/2017,11/26/2017,37,56,7,Trump
11/13/2017,11/19/2017,38,57,5,Trump
11/6/2017,11/12/2017,38,56,6,Trump
10/30/2017,11/5/2017,38,58,4,Trump
10/23/2017,10/29/2017,35,60,5,Trump
10/16/2017,10/22/2017,36,58,6,Trump
10/9/2017,10/15/2017,37,57,6,Trump
10/2/2017,10/8/2017,38,56,6,Trump
9/25/2017,10/1/2017,37,58,5,Trump
9/18/2017,9/24/2017,38,55,7,Trump
9/11/2017,9/17/2017,38,57,5,Trump
9/4/2017,9/10/2017,37,57,6,Trump
8/28/2017,9/3/2017,36,59,5,Trump
8/21/2017,8/27/2017,35,60,5,Trump
8/14/2017,8/20/2017,37,58,5,Trump
8/7/2017,8/13/2017,36,58,6,Trump
7/31/2017,8/6/2017,37,58,5,Trump
7/24/2017,7/30/2017,38,57,5,Trump
7/17/2017,7/23/2017,37,58,5,Trump
7/10/2017,7/16/2017,39,56,5,Trump
7/3/2017,7/9/2017,38,57,5,Trump
6/26/2017,7/2/2017,39,56,5,Trump
6/19/2017,6/25/2017,39,56,5,Trump
6/12/2017,6/18/2017,38,57,5,Trump
6/5/2017,6/11/2017,37,58,5,Trump
5/29/2017,6/4/2017,38,56,6,Trump
5/22/2017,5/28/2017,41,54,5,Trump
5/15/2017,5/21/2017,38,56,6,Trump
5/8/2017,5/14/2017,38,56,6,Trump
5/1/2017,5/7/2017,42,53,5,Trump
4/24/2017,4/30/2017,41,54,5,Trump
4/17/2017,4/23/2017,41,52,7,Trump
4/10/2017,4/16/2017,40,54,6,Trump
4/3/2017,4/9/2017,40,53,7,Trump
3/27/2017,4/2/2017,38,57,5,Trump
3/20/2017,3/26/2017,39,56,5,Trump
3/13/2017,3/19/2017,40,55,5,Trump
3/6/2017,3/12/2017,42,52,6,Trump
2/27/2017,3/5/2017,43,51,6,Trump
2/20/2017,2/26/2017,42,53,5,Trump
2/13/2017,2/19/2017,40,54,6,Trump
2/6/2017,2/12/2017,41,53,6,Trump
1/30/2017,2/5/2017,43,52,5,Trump
1/20/2017,1/29/2017,45,47,8,Trump
1/16/2017,1/19/2017,59,37,4,Obama
1/9/2017,1/15/2017,57,39,4,Obama
1/2/2017,1/8/2017,55,42,3,Obama
12/26/2016,1/1/2017,55,40,5,Obama
12/19/2016,12/25/2016,56,40,4,Obama
12/12/2016,12/18/2016,56,40,4,Obama
12/5/2016,12/11/2016,57,40,3,Obama
11/28/2016,12/4/2016,54,43,3,Obama
11/21/2016,11/27/2016,56,40,4,Obama
11/14/2016,11/20/2016,56,41,3,Obama
11/7/2016,11/13/2016,57,41,2,Obama
10/31/2016,11/6/2016,53,45,2,Obama
10/24/2016,10/30/2016,54,44,2,Obama
10/17/2016,10/23/2016,55,42,3,Obama
10/10/2016,10/16/2016,54,43,3,Obama
10/3/2016,10/9/2016,52,45,3,Obama
9/26/2016,10/2/2016,53,44,3,Obama
9/19/2016,9/25/2016,53,43,4,Obama
9/12/2016,9/18/2016,52,44,4,Obama
9/5/2016,9/11/2016,51,45,4,Obama
