year,month,inflation,interest,unemployment,CPI,senate_pol,house_pol,approval,disapproval,president
1914,1,2,,,10.0,,,,,
1914,2,1,,,9.9,,,,,
1914,3,1,,,9.9,,,,,
1914,4,0,,,9.8,,,,,
1914,5,2.1,,,9.9,,,,,
1914,6,1,,,,,,,,
1914,7,1,,,,,,,,
1914,8,3,,,10.2,,,,,
1914,9,2,,,10.2,,,,,
1914,10,1,,,10.1,,,,,
1914,11,1,,,10.2,,,,,
1914,12,1,,,10.1,,,,,
1915,1,1,,,10.1,0.706356322,0.723630598,,,
1915,2,1,,,10.0,0.706356322,0.723630598,,,
1915,3,0,,,9.9,0.706356322,0.723630598,,,
1915,4,2,,,10.0,0.706356322,0.723630598,,,
1915,5,2,,,10.1,0.706356322,0.723630598,,,
1915,6,2,,,,0.706356322,0.723630598,,,
1915,7,1,,,,0.706356322,0.723630598,,,
1915,8,-1,,,10.1,0.706356322,0.723630598,,,
1915,9,-1,,,10.1,0.706356322,0.723630598,,,
1915,10,1,,,10.2,0.706356322,0.723630598,,,
1915,11,1,,,10.3,0.706356322,0.723630598,,,
1915,12,2,,,10.3,0.706356322,0.723630598,,,
1916,1,3,,,10.4,,,,,
1916,2,4,,,10.4,,,,,
1916,3,6.1,,,10.5,,,,,
1916,4,6,,,10.6,,,,,
1916,5,5.9,,,10.7,,,,,
1916,6,6.9,,,,,,,,
1916,7,6.9,,,,,,,,
1916,8,7.9,,,10.9,,,,,
1916,9,9.9,,,11.1,,,,,
1916,10,10.8,,,11.3,,,,,
1916,11,11.7,,,11.5,,,,,
1916,12,12.6,,,11.6,,,,,
1917,1,12.5,,,11.7,0.697244855,0.715689248,,,
1917,2,15.4,,,12.0,0.697244855,0.715689248,,,
1917,3,14.3,,,12.0,0.697244855,0.715689248,,,
1917,4,18.9,,,12.6,0.697244855,0.715689248,,,
1917,5,19.6,,,12.8,0.697244855,0.715689248,,,
1917,6,20.4,,,,0.697244855,0.715689248,,,
1917,7,18.5,,,,0.697244855,0.715689248,,,
1917,8,19.3,,,13.0,0.697244855,0.715689248,,,
1917,9,19.8,,,13.3,0.697244855,0.715689248,,,
1917,10,19.5,,,13.5,0.697244855,0.715689248,,,
1917,11,17.4,,,13.5,0.697244855,0.715689248,,,
1917,12,18.1,,,13.7,0.697244855,0.715689248,,,
1918,1,19.7,,,14.0,,,,,
1918,2,17.5,,,14.1,,,,,
1918,3,16.7,,,14.0,,,,,
1918,4,12.7,,,14.2,,,,,
1918,5,13.3,,,14.5,,,,,
1918,6,13.1,,,,,,,,
1918,7,18,,,,,,,,
1918,8,18.5,,,15.4,,,,,
1918,9,18,,,15.7,,,,,
1918,10,18.5,,,16.0,,,,,
1918,11,20.7,,,16.3,,,,,
1918,12,20.4,,,16.5,,,,,
1919,1,17.9,,,16.5,0.718318431,0.715348039,,,
1919,2,14.9,,,16.2,0.718318431,0.715348039,,,
1919,3,17.1,,,16.4,0.718318431,0.715348039,,,
1919,4,17.6,,,16.7,0.718318431,0.715348039,,,
1919,5,16.6,,,16.9,0.718318431,0.715348039,,,
1919,6,15,,,,0.718318431,0.715348039,,,
1919,7,15.2,,,,0.718318431,0.715348039,,,
1919,8,14.9,,,17.7,0.718318431,0.715348039,,,
1919,9,13.4,,,17.8,0.718318431,0.715348039,,,
1919,10,13.1,,,18.1,0.718318431,0.715348039,,,
1919,11,13.5,,,18.5,0.718318431,0.715348039,,,
1919,12,14.5,,,18.9,0.718318431,0.715348039,,,
1920,1,17,,,19.3,,,,,
1920,2,20.4,,,19.5,,,,,
1920,3,20.1,,,19.7,,,,,
1920,4,21.6,,,20.3,,,,,
1920,5,21.9,,,20.6,,,,,
1920,6,23.7,,,,,,,,
1920,7,19.5,,,,,,,,
1920,8,14.7,,,20.3,,,,,
1920,9,12.4,,,20.0,,,,,
1920,10,9.9,,,19.9,,,,,
1920,11,7,,,19.8,,,,,
1920,12,2.6,,,19.4,,,,,
1921,1,-1.6,,,19.0,0.707152681,0.704152104,,,
1921,2,-5.6,,,18.4,0.707152681,0.704152104,,,
1921,3,-7.1,,,18.3,0.707152681,0.704152104,,,
1921,4,-10.8,,,18.1,0.707152681,0.704152104,,,
1921,5,-14.1,,,17.7,0.707152681,0.704152104,,,
1921,6,-15.8,,,,0.707152681,0.704152104,,,
1921,7,-14.9,,,,0.707152681,0.704152104,,,
1921,8,-12.8,,,17.7,0.707152681,0.704152104,,,
1921,9,-12.5,,,17.5,0.707152681,0.704152104,,,
1921,10,-12.1,,,17.5,0.707152681,0.704152104,,,
1921,11,-12.1,,,17.4,0.707152681,0.704152104,,,
1921,12,-10.8,,,17.3,0.707152681,0.704152104,,,
1922,1,-11.1,,,16.9,,,,,
1922,2,-8.2,,,16.9,,,,,
1922,3,-8.7,,,16.7,,,,,
1922,4,-7.7,,,16.7,,,,,
1922,5,-5.6,,,16.7,,,,,
1922,6,-5.1,,,,,,,,
1922,7,-5.1,,,,,,,,
